rank,path,changes,last_modified
1,setup.py,17,
2,apps/mobile/services/iqamaDiscovery.ts,8,
3,data/mosques/canada/ontario/ottawa.json,8,
4,data/mosques/canada/ontario/toronto.json,7,
5,apps/mobile/stores/mosqueStore.ts,6,
6,data/mosques/_meta/coverage-map.json,6,
7,apps/mobile/app/mosque/[id].tsx,5,
8,data/mosques/canada/ontario/waterloo.json,5,
9,data/mosques/canada/ontario/windsor.json,5,
10,packages/shared/src/types.ts,4,
11,apps/mobile/app/(tabs)/index.tsx,4,
12,apps/mobile/app/(tabs)/mosques.tsx,4,
13,apps/mobile/app/(tabs)/settings.tsx,4,
14,package-lock.json,4,
15,server/prisma/schema.prisma,4,
16,data/mosques/canada/ontario/brampton.json,4,
17,data/mosques/canada/ontario/markham.json,4,
18,data/mosques/canada/ontario/mississauga.json,4,
19,data/mosques/canada/ontario/barrie.json,4,
20,data/mosques/canada/ontario/brantford.json,4,
21,data/mosques/canada/ontario/burlington.json,4,
22,data/mosques/canada/ontario/cambridge-kitchener.json,4,
23,data/mosques/canada/ontario/cornwall.json,4,
24,data/mosques/canada/ontario/guelph.json,4,
25,data/mosques/canada/ontario/hamilton.json,4,
26,data/mosques/canada/ontario/kingston.json,4,
27,data/mosques/canada/ontario/london.json,4,
28,data/mosques/canada/ontario/milton.json,4,
29,data/mosques/canada/ontario/niagara.json,4,
30,data/mosques/canada/ontario/oshawa.json,4,
31,data/mosques/canada/ontario/peterborough.json,4,
32,data/mosques/canada/ontario/sarnia.json,4,
33,data/mosques/canada/ontario/sudbury.json,4,
34,data/mosques/canada/ontario/thunder-bay.json,4,
35,data/mosques/canada/ontario/whitby-ajax.json,4,
36,data/mosques/canada/ontario/belleville.json,4,
37,apps/mobile/services/azanAudio.ts,3,
38,apps/mobile/services/localMosqueSearch.ts,3,
39,apps/mobile/components/MosqueCard.tsx,3,
40,apps/mobile/components/MosqueMap.tsx,3,
41,apps/mobile/services/api.ts,3,
42,apps/mobile/stores/authStore.ts,3,
43,apps/mobile/stores/settingsStore.ts,3,
44,apps/mobile/services/notifications.ts,3,
45,apps/mobile/package.json,3,
46,server/prisma/seed.ts,3,
47,server/src/index.ts,3,
48,scripts/research-mosques.ts,3,
49,data/mosques/canada/ontario/north-bay.json,3,
50,data/mosques/canada/ontario/owen-sound.json,3,
51,data/mosques/canada/ontario/sault-ste-marie.json,3,
52,apps/mobile/assets/data/mosques-index.json,2,
53,apps/mobile/components/AzanPlayer.tsx,2,
54,scripts/generate-mosque-bundle.py,2,
55,apps/mobile/services/location.ts,2,
56,apps/mobile/services/overpassService.ts,2,
57,apps/mobile/services/mawaqitService.ts,2,
58,apps/mobile/app/(auth)/login.tsx,2,
59,apps/mobile/app/_layout.tsx,2,
60,apps/mobile/app.json,2,
61,scripts/generate-mobile-assets.py,2,
62,apps/mobile/components/NotificationSettings.tsx,2,
63,apps/mobile/services/prayerTimes.ts,2,
64,apps/mobile/stores/prayerStore.ts,2,
65,package.json,2,
66,.env.local.example,2,
67,.env.prod.example,2,
68,docker-compose.local.yml,2,
69,docker-compose.prod.yml,2,
70,server/package.json,2,
71,server/src/routes/mosques.ts,2,
72,apps/admin/vite.config.ts,2,
73,data/mosques/canada/ontario/vaughan.json,2,
74,data/mosques/canada/ontario/tillsonburg.json,2,
75,data/mosques/canada/ontario/bradford.json,2,
76,data/mosques/canada/ontario/brockville.json,2,
77,data/mosques/canada/ontario/chatham-kent.json,2,
78,data/mosques/canada/ontario/erin.json,2,
79,data/mosques/canada/ontario/hawkesbury.json,2,
80,data/mosques/canada/ontario/lindsay.json,2,
81,data/mosques/canada/ontario/newmarket.json,2,
82,data/mosques/canada/ontario/pembroke.json,2,
83,data/mosques/canada/ontario/timmins.json,2,
84,data/mosques/canada/ontario/stratford.json,2,
85,server/src/middleware/auth.ts,2,
86,IMPLEMENTATION_GUIDE.md,2,
87,distancecalculation-Labeeb.py,2,
88,apps/mobile/components/DebugPanel.tsx,1,
89,apps/mobile/assets/sounds/azan_default.wav,1,
90,apps/mobile/metro.config.js,1,
91,apps/mobile/android/.gitignore,1,
92,apps/mobile/android/app/build.gradle,1,
93,apps/mobile/android/app/debug.keystore,1,
94,apps/mobile/android/app/proguard-rules.pro,1,
95,apps/mobile/android/app/src/debug/AndroidManifest.xml,1,
96,apps/mobile/android/app/src/main/AndroidManifest.xml,1,
97,apps/mobile/android/app/src/main/java/com/liveaszan/app/MainActivity.kt,1,
98,apps/mobile/android/app/src/main/java/com/liveaszan/app/MainApplication.kt,1,
99,apps/mobile/android/app/src/main/res/drawable-hdpi/splashscreen_image.png,1,
100,apps/mobile/android/app/src/main/res/drawable-mdpi/splashscreen_image.png,1,
